pid,pclass,survived,sex,age,sibsp,parch,fare,embarked
1,1st,1,female,29,0,0,211.337494,Southampton
2,1st,1,male,NA,1,2,151.550003,Southampton
3,1st,0,female,2,1,2,151.550003,Southampton
4,1st,0,male,30,1,2,151.550003,Southampton
5,1st,0,female,25,1,2,151.550003,Southampton
6,1st,1,male,48,0,0,26.5499992,Southampton
7,1st,1,female,63,1,0,77.9582977,Southampton
8,1st,0,male,39,0,0,0,Southampton
9,1st,1,female,53,2,0,51.4791985,Southampton
10,1st,0,male,71,0,0,49.5042,Cherbourg
11,1st,0,male,47,1,0,227.524994,Cherbourg
12,1st,1,female,18,1,0,227.524994,Cherbourg
13,1st,1,female,24,0,0,69.3000031,Cherbourg
14,1st,1,female,26,0,0,78.8499985,Southampton
15,1st,1,male,80,0,0,30,Southampton
16,1st,0,male,NA,0,0,25.9249992,Southampton
17,1st,0,male,24,0,1,247.520798,Cherbourg
18,1st,1,female,50,0,1,247.520798,Cherbourg
19,1st,1,female,32,0,0,76.2917023,Cherbourg
20,1st,0,male,36,0,0,75.2416992,Cherbourg
21,1st,1,male,37,1,1,52.5541992,Southampton
22,1st,1,female,47,1,1,52.5541992,Southampton
23,1st,1,male,26,0,0,30,Cherbourg
24,1st,1,female,42,0,0,227.524994,Cherbourg
25,1st,1,female,29,0,0,221.779205,Southampton
26,1st,0,male,25,0,0,26,Cherbourg
27,1st,1,male,25,1,0,91.0792007,Cherbourg
28,1st,1,female,19,1,0,91.0792007,Cherbourg
29,1st,1,female,35,0,0,135.633301,Southampton
30,1st,1,male,28,0,0,26.5499992,Southampton
31,1st,0,male,45,0,0,35.5,Southampton
32,1st,1,male,40,0,0,31,Cherbourg
33,1st,1,female,30,0,0,164.866699,Southampton
34,1st,1,female,58,0,0,26.5499992,Southampton
35,1st,0,male,42,0,0,26.5499992,Southampton
36,1st,1,female,45,0,0,262.375,Cherbourg
37,1st,1,female,22,0,1,55,Southampton
38,1st,1,male,NA,0,0,26.5499992,Southampton
39,1st,0,male,41,0,0,30.5,Southampton
40,1st,0,male,48,0,0,50.4958,Cherbourg
41,1st,0,male,NA,0,0,39.5999985,Cherbourg
42,1st,1,female,44,0,0,27.7208004,Cherbourg
43,1st,1,female,59,2,0,51.4791985,Southampton
44,1st,1,female,60,0,0,76.2917023,Cherbourg
45,1st,1,female,41,0,0,134.5,Cherbourg
46,1st,0,male,45,0,0,26.5499992,Southampton
47,1st,0,male,NA,0,0,31,Southampton
48,1st,1,male,42,0,0,26.2875004,Southampton
49,1st,1,female,53,0,0,27.4458008,Cherbourg
50,1st,1,male,36,0,1,512.329224,Cherbourg
51,1st,1,female,58,0,1,512.329224,Cherbourg
52,1st,0,male,33,0,0,5,Southampton
53,1st,0,male,28,0,0,47.0999985,Southampton
54,1st,0,male,17,0,0,47.0999985,Southampton
55,1st,1,male,11,1,2,120,Southampton
56,1st,1,female,14,1,2,120,Southampton
57,1st,1,male,36,1,2,120,Southampton
58,1st,1,female,36,1,2,120,Southampton
59,1st,0,male,49,0,0,26,Southampton
60,1st,1,female,NA,0,0,27.7208004,Cherbourg
61,1st,0,male,36,1,0,78.8499985,Southampton
62,1st,1,female,76,1,0,78.8499985,Southampton
63,1st,0,male,46,1,0,61.1749992,Southampton
64,1st,1,female,47,1,0,61.1749992,Southampton
65,1st,1,male,27,1,0,53.0999985,Southampton
66,1st,1,female,33,1,0,53.0999985,Southampton
67,1st,1,female,36,0,0,262.375,Cherbourg
68,1st,1,female,30,0,0,86.5,Southampton
69,1st,1,male,45,0,0,29.7000008,Cherbourg
